Variable;Scenario;Scenario_name;Class;UF;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;RO;0.00434621;0.00434621;0.003968667;0.006030534;0.003971584;0.006197936;0.008125797;0.00952501;0.010920646;0.012226626;0.013427125;0.014500879
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;AC;0.000166341;0.000166341;0.000163194;0.000179148;0.00011364;0.000158228;0.000229349;0.000271249;0.000313055;0.000352282;0.00038844;0.000420887
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;AM;0.000684707;0.000684707;0.000686089;0.000811692;0.000760406;0.000826533;0.001473156;0.001792292;0.002110971;0.002412089;0.002691581;0.002944441
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;RR;0.000351913;0.000351913;0.000417704;0.000366326;0.000596713;0.000362872;0.00082137;0.000980883;0.001140087;0.001289868;0.001428296;0.001552903
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;PA;0.012561589;0.012561589;0.012826859;0.013283634;0.013087514;0.01029342;0.015292905;0.016663019;0.018022706;0.01923887;0.02030481;0.021202717
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;AP;7.15193E-05;7.15193E-05;6.76056E-05;6.05081E-05;5.06724E-05;4.19922E-05;9.1209E-05;0.000108702;0.00012616;0.000142575;0.000157739;0.00017138
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;TO;0.013271178;0.013271178;0.013733059;0.013402811;0.013712742;0.010220404;0.010756976;0.009828569;0.008887298;0.007882836;0.00684504;0.005794656
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;MA;0.005056454;0.005056454;0.005185265;0.005873378;0.006099126;0.004328146;0.006275645;0.006583154;0.00688564;0.007134314;0.007331079;0.007473107
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;PI;0.002834096;0.002834096;0.003321401;0.004151795;0.006570615;0.002839932;0.002454755;0.001164867;0;0;0;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;CE;0.003450471;0.003450471;0.003669769;0.00509677;0.008999509;0.003903928;0.002901989;0.001048842;0;0;0;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;RN;0.003429094;0.003429094;0.00367585;0.002983048;0.004955147;0.002591226;0.001945452;0.001064314;0.000178765;0;0;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;PB;0.003924759;0.003924759;0.003823534;0.00381453;0.006808205;0.004489861;0.003666513;0.002823249;0.001974061;0.001113848;0.000262413;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;PE;0.006200766;0.006200766;0.006274712;0.006997779;0.012515733;0.006194684;0.005166275;0.002995346;0.000813199;0;0;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;AL;0.002169708;0.002169708;0.001908071;0.001466166;0.003590056;0.001386759;0.001328741;0.000776279;0.00022095;0;0;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;SE;0.001628332;0.001628332;0.001475012;0.00137588;0.002674436;0.001481113;0.001398669;0.001089963;0.000779035;0.000463643;0.000151102;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;BA;0.02045618;0.02045618;0.021214865;0.031652446;0.047132294;0.024078169;0.021570726;0.013409294;0.005203656;0;0;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;MG;0.046731829;0.046731829;0.045482557;0.046099072;0.050538501;0.033565715;0.030970295;0.025012009;0.019007087;0.012885796;0.006794128;0.000849579
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;ES;0.002699984;0.002699984;0.003292023;0.004997585;0.006541749;0.002963234;0.003503718;0.002822543;0.002136071;0.001436575;0.000740703;6.18708E-05
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;RJ;0.00192406;0.00192406;0.002193361;0.001934308;0.002397993;0.001574406;0.001915707;0.001884531;0.001851457;0.001804451;0.001746381;0.00167858
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;SP;0.025274037;0.025274037;0.022558917;0.015224299;0.007631312;0.010506543;0.006623646;0.004896905;0.003158867;0.001404972;0;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;PR;0.005135002;0.005135002;0.004073533;0.003197285;0.001767133;0.002971135;0.002239681;0.002169069;0.002096138;0.002007601;0.001907433;0.001797797
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;SC;0.000755898;0.000755898;0.000619719;0.000365176;0.000194894;0.000266035;0.000198752;0.000168927;0.000138827;0.000107812;7.6666E-05;4.59946E-05
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;RS;0.000298931;0.000298931;0.000221101;0.000127298;4.43137E-05;6.71593E-05;4.94632E-05;3.80658E-05;2.65885E-05;1.49628E-05;3.45639E-06;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;MS;0.040808147;0.040808147;0.037770523;0.039700299;0.023095009;0.031279756;0.023692947;0.020925408;0.018127424;0.015204679;0.01223614;0.009280209
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;MT;0.053537168;0.053537168;0.052156593;0.057098118;0.039333301;0.042112368;0.039940464;0.03713557;0.034284793;0.031186568;0.027940022;0.024610891
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;GO;0.029898677;0.029898677;0.027154428;0.02763197;0.020192251;0.017995403;0.014336176;0.010784065;0.007208046;0.003594007;2.40331E-05;0
Pasture condition dynamics;A;Current trends (BAU);Degraded pasture;DF;0.000511904;0.000511904;0.000474766;0.000360081;0.000286283;0.000275677;0.000242245;0.000216268;0.000189987;0.000162384;0.000134224;0.000106064
Pasture condition dynamics;A;Current trends (BAU);Intermediate pasture;RO;0.017283018;0.017283018;0.019198381;0.023361757;0.022450431;0.026937339;0.030513502;0.03365976;0.03678642;0.039618481;0.042135033;0.04429329
